geoid,year,HIV
27025,2012,7.48
27027,2012,6.65
27029,2012,0
27031,2012,0
27033,2012,25.87
27035,2012,4.77
27037,2012,2.4
27039,2012,0
27041,2012,10.98
27043,2012,0
27045,2012,0
27047,2012,0
27049,2012,0
27051,2012,0
27053,2012,18.1
27055,2012,0
27057,2012,0
27059,2012,0
27061,2012,8.85
27063,2012,38.91
27065,2012,24.99
27067,2012,7.08
27069,2012,0
27071,2012,0
27073,2012,0
27075,2012,27.73
27077,2012,0
27079,2012,0
27081,2012,0
27083,2012,15.66
27085,2012,11.09
27087,2012,0
27089,2012,0
27091,2012,0
27093,2012,0
27095,2012,0
27097,2012,0
27099,2012,10.16
27101,2012,0
27103,2012,0
27105,2012,0
27107,2012,0
27109,2012,2.04
27111,2012,5.24
27113,2012,0
27115,2012,13.69
27117,2012,0
27119,2012,0
27121,2012,0
27123,2012,12
27125,2012,0
27127,2012,0
27129,2012,0
27131,2012,6.17
27133,2012,0
27135,2012,0
27137,2012,8.7
27139,2012,2.22
27141,2012,3.35
27143,2012,0
27145,2012,1.98
27147,2012,0
27149,2012,0
27151,2012,0
27153,2012,0
27155,2012,0
27157,2012,18.63
27159,2012,0
27161,2012,20.79
27163,2012,1.64
27165,2012,0
27167,2012,0
27169,2012,5.81
27171,2012,2.36
27173,2012,0
28001,2012,40.5
28003,2012,10.76
28005,2012,23.15
28007,2012,0
28009,2012,0
28011,2012,11.8
28013,2012,0
28015,2012,38.38
28017,2012,22.97
28019,2012,35.95
28021,2012,42.79
28023,2012,24.16
28025,2012,0
28027,2012,63.8
28029,2012,29.3
28031,2012,15.3
28033,2012,14.1
28035,2012,42.7
28037,2012,0
28039,2012,0
28041,2012,0
28043,2012,13.84
28045,2012,18.5
28047,2012,12.6
28049,2012,62.6
28051,2012,21.28
28053,2012,32.65
28055,2012,0
28057,2012,17.14
28059,2012,7.8
28061,2012,24.21
28063,2012,52.37
28065,2012,24.93
28067,2012,9
28069,2012,29.03
28071,2012,8.08
28073,2012,6.92
28075,2012,25.7
28077,2012,23.9
28079,2012,12.88
28081,2012,10.2
28083,2012,12.92
28085,2012,11.46
28087,2012,14.3
28089,2012,17.6
28091,2012,15.13
28093,2012,10.93
28095,2012,8.24
28097,2012,28.26
28099,2012,21.3
28101,2012,18.52
28103,2012,55
28105,2012,8.3
28107,2012,8.7
28109,2012,7.23
28111,2012,24.82
28113,2012,7.48
28115,2012,0
28117,2012,0
28119,2012,51.3
28121,2012,19.2
28123,2012,21.9
28125,2012,83.35
28127,2012,14.61
28129,2012,24.47
28131,2012,16.64
28133,2012,10.55
28135,2012,26.47
28137,2012,0
28139,2012,13.62
28141,2012,20.42
28143,2012,73.7
28145,2012,14.59
28147,2012,0
28149,2012,15.2
28151,2012,17.4
28153,2012,0
28155,2012,0
28157,2012,42.41
28159,2012,21.02
28161,2012,32.26
28163,2012,25.7
29001,2012,0
29003,2012,0
29005,2012,0
29007,2012,15.61
29009,2012,0
29011,2012,0
29013,2012,0
29015,2012,0
29017,2012,0
29019,2012,3.5
29021,2012,8
29023,2012,16.8
29025,2012,0
29027,2012,16
29029,2012,0
29031,2012,3.9
29033,2012,0
29035,2012,0
29037,2012,3.99
29039,2012,0
29041,2012,0
29043,2012,5.01
29045,2012,0
29047,2012,10.2
29049,2012,0
29051,2012,7.9
29053,2012,0
29055,2012,0
29057,2012,0
29059,2012,0
29061,2012,0
